module,doctype,fieldname,label,fieldtype,pg_type,options,reqd,unique,index,read_only,default,fetch_from
Accounts,Accounts Settings,allow_pegged_currencies_exchange_rates,Allow Implicit Pegged Currency Conversion,Check,smallint,,0,0,0,0,0,
Accounts,Accounts Settings,add_taxes_from_taxes_and_charges_template,Automatically add taxes from Taxes and Charges Template,Check,smallint,,0,0,0,0,0,
Accounts,Accounts Settings,fetch_valuation_rate_for_internal_transaction,Fetch valuation rate for internal Transaction,Check,smallint,,0,0,0,0,0,
Accounts,Accounts Settings,use_legacy_budget_controller,Use legacy Budget Controller,Check,smallint,,0,0,0,0,0,
Accounts,Accounts Settings,use_legacy_controller_for_pcv,Use legacy controller for Period Closing Voucher,Check,smallint,,0,0,0,0,1,
Accounts,Accounts Settings,pcv_job_timeout,PCV Job Timeout (seconds),Int,integer,,0,0,0,0,3600,
Accounts,Accounts Settings,role_to_notify_on_depreciation_failure,Role to Notify on Depreciation Failure,Link,varchar(140),Role,0,0,0,0,,
Accounts,Accounts Settings,default_ageing_range,Default Ageing Range,Data,varchar(140),,0,0,0,0,"30, 60, 90, 120",
Accounts,Accounts Settings,enable_discounts_and_margin,Enable Discounts and Margin,Check,smallint,,0,0,0,0,0,
Accounts,Accounts Settings,enable_loyalty_point_program,Enable Loyalty Point Program,Check,smallint,,0,0,0,0,0,
Accounts,Accounts Settings,enable_accounting_dimensions,Enable Accounting Dimensions,Check,smallint,,0,0,0,0,0,
Accounts,Accounts Settings,enable_subscription,Enable Subscription,Check,smallint,,0,0,0,0,1,
Accounts,Accounts Settings,fetch_payment_schedule_in_payment_request,Fetch Payment Schedule in Payment Request,Check,smallint,,0,0,0,0,1,
Accounts,Accounts Settings,transfer_match_days,Match transfers within 'N' days,Int,integer,,0,0,0,0,3,
Accounts,Accounts Settings,automatically_run_rules_on_unreconciled_transactions,Automatically run rules on unreconciled transactions,Check,smallint,,0,0,0,0,1,
Accounts,Accounts Settings,preview_mode,Preview mode,Check,smallint,,0,0,0,0,0,
Accounts,Accounts Settings,book_stock_expense_gl_entries,Book Stock Expense GL Entries,Check,smallint,,0,0,0,0,0,
Accounts,Advance Payment Ledger Entry,voucher_type,Voucher Type,Link,varchar(140),DocType,0,0,0,1,,
Accounts,Advance Payment Ledger Entry,voucher_no,Voucher No,Dynamic Link,varchar(140),voucher_type,0,0,0,1,,
Accounts,Advance Payment Ledger Entry,against_voucher_type,Against Voucher Type,Link,varchar(140),DocType,0,0,0,1,,
Accounts,Advance Payment Ledger Entry,against_voucher_no,Against Voucher No,Dynamic Link,varchar(140),against_voucher_type,0,0,0,1,,
Accounts,Advance Payment Ledger Entry,amount,Amount,Currency,"numeric(21,9)",currency,0,0,0,1,,
Accounts,Advance Payment Ledger Entry,currency,Currency,Link,varchar(140),Currency,0,0,0,1,,
Accounts,Advance Payment Ledger Entry,event,Event,Data,varchar(140),,0,0,0,1,,
Accounts,Advance Payment Ledger Entry,company,Company,Link,varchar(140),Company,0,0,0,1,,
Accounts,Advance Payment Ledger Entry,delinked,DeLinked,Check,smallint,,0,0,0,1,0,
Accounts,Advance Payment Ledger Entry,base_amount,Amount (Company Currency),Currency,"numeric(21,9)",Company:company:default_currency,0,0,0,1,,
